date_day,total_cases,new_cases
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,1,1
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,4,3
2020-03-10,4,0
2020-03-11,4,0
2020-03-12,7,3
2020-03-13,7,0
2020-03-14,7,0
2020-03-15,7,0
2020-03-16,10,3
2020-03-17,16,6
2020-03-18,22,6
2020-03-19,22,0
2020-03-20,22,0
2020-03-21,22,0
2020-03-22,24,2
2020-03-23,24,0
2020-03-24,40,16
2020-03-25,42,2
2020-03-26,74,32
2020-03-27,74,0
2020-03-28,80,6
2020-03-29,91,11
2020-03-30,106,15
2020-03-31,114,8
2020-04-01,166,52
2020-04-02,192,26
2020-04-03,194,2
2020-04-04,254,60
2020-04-05,274,20
2020-04-06,299,25
2020-04-07,337,38
2020-04-08,367,30
2020-04-09,423,56
2020-04-10,444,21
2020-04-11,484,40
2020-04-12,521,37
2020-04-13,555,34
2020-04-14,607,52
2020-04-15,665,58
2020-04-16,721,56
2020-04-17,794,73
2020-04-18,845,51
2020-04-19,908,63
2020-04-20,933,25
2020-04-21,996,63
2020-04-22,1026,30
2020-04-23,1092,66
2020-04-24,1176,84
2020-04-25,1226,50
2020-04-26,1330,104
2020-04-27,1463,133
2020-04-28,1531,68
2020-04-29,1703,172
2020-04-30,1827,124
2020-05-01,1937,110
2020-05-02,2171,234
2020-05-03,2171,0
2020-05-04,2469,298
2020-05-05,2469,0
2020-05-06,2469,0
2020-05-07,3224,755
2020-05-08,3392,168
2020-05-09,3563,171
2020-05-10,3563,0
2020-05-11,4041,478
2020-05-12,4402,361
2020-05-13,4664,262
2020-05-14,4967,303
2020-05-15,5226,259
2020-05-16,5639,413
2020-05-17,6053,414
2020-05-18,6402,349
2020-05-19,6664,262
2020-05-20,7072,408
2020-05-21,7653,581
2020-05-22,8220,567
2020-05-23,9130,910
2020-05-24,9866,736
2020-05-25,10582,716
2020-05-26,11094,512
2020-05-27,11831,737
2020-05-28,12379,548
2020-05-29,13016,637
2020-05-30,13659,643
2020-05-31,14443,784
2020-06-01,15094,651
2020-06-02,15750,656
2020-06-03,16492,742
2020-06-04,17267,775
2020-06-05,17891,624
2020-06-06,18969,1078
2020-06-07,19551,582
2020-06-08,20342,791
2020-06-09,20917,575
2020-06-10,21222,305
2020-06-11,22142,920
2020-06-12,22890,748
2020-06-13,23546,656
2020-06-14,24102,556
2020-06-15,24766,664
2020-06-16,25527,761
2020-06-17,25633,106
2020-06-18,26874,1241
2020-06-19,27337,463
2020-06-20,27878,541
2020-06-21,28297,419
2020-06-22,28833,536
2020-06-23,29143,310
2020-06-24,29481,338
2020-06-25,29640,159
2020-06-26,30175,535
2020-06-27,30260,85
2020-06-28,30616,356
2020-06-29,30967,351
2020-06-30,31238,271
2020-07-01,31359,121
2020-07-02,31762,403
