date_day,loc,total_cases,total_deaths,people_vaccinated
2020-02-01,AFR,0,0,0
2020-03-01,AFR,3,0,0
2020-04-01,AFR,4862,400,0
2020-05-01,AFR,34483,1918,0
2020-06-01,AFR,117517,3883,0
2020-07-01,AFR,261359,7737,0
2020-08-01,AFR,441853,11927,0
2020-09-01,AFR,632921,15740,0
2020-10-01,AFR,816838,19594,0
2020-11-01,AFR,1072116,24087,0
2020-12-01,AFR,1399691,30984,0
2021-01-01,AFR,1720081,37276,0
2021-02-01,AFR,2138760,46987,35286
2021-03-01,AFR,2418587,53929,3681583
2021-04-01,AFR,2719152,60423,5777522
2021-05-01,AFR,3028332,67848,9485980
2021-06-01,AFR,3229296,74579,17597321
2021-07-01,AFR,3593217,82965,16192056
2021-08-01,AFR,4338554,99007,21646681
2021-09-01,AFR,5119188,115352,36751477
2021-10-01,AFR,5504632,124276,17990809
2021-11-01,AFR,5684177,129651,34833335
2021-12-01,AFR,5829983,133962,19595420
2022-01-01,AFR,6446659,137998,24580771
2022-02-01,AFR,7507064,144712,46718459
2022-03-01,AFR,8041757,150303,68297103
2022-04-01,AFR,8216859,152794,17172674
2022-05-01,AFR,8307732,153472,124963293
2022-06-01,AFR,8378237,153835,33478408
2022-07-01,AFR,8529724,154257,6305470
2022-08-01,AFR,8741689,155145,6378079
2022-09-01,AFR,8817287,155492,0
2022-10-01,AFR,8856582,155661,6435008
2022-11-01,AFR,8881765,155737,32219641
2022-12-01,AFR,8916812,155832,308523
2023-01-01,AFR,8952803,155943,39562827
2023-02-01,AFR,8982149,156078,0
2023-03-01,AFR,8992936,156151,0
2023-04-01,AFR,9000723,156240,0
2023-05-01,AFR,9011811,156320,0
2023-06-01,AFR,9021469,156363,0
2023-07-01,AFR,9030071,156394,0
2023-08-01,AFR,9033572,156410,0
2023-09-01,AFR,9036659,156422,0
2023-10-01,AFR,9040885,156429,97491978
2023-11-01,AFR,9041869,156431,0
